Credits,Player Type,Player Name,Team,ESPN player name
8.0,BAT,Fakhar Zaman,PAK,Fakhar Zaman
8.0,BOWL,Haris Rauf,PAK,Haris Rauf
6.5,BAT,Kamran Ghulam,PAK,Kamran Ghulam
6.5,ALL,Khushdil Shah,PAK,Khushdil Shah
7.0,BOWL,Mohammad Hasnain,PAK,Mohammad Hasnain
8.5,WK,Mohammad Rizwan,PAK,Mohammad Rizwan
7.5,BOWL,Naseem Shah,PAK,Naseem Shah
7.0,BAT,Saud Shakeel,PAK,Saud Shakeel
9.0,BOWL,Shaheen Afridi,PAK,Shaheen Shah Afridi
6.5,BAT,Tayyab Tahir,PAK,Tayyab Tahir
6.0,WK,Usman Khan,PAK,Usman Khan
8.0,ALL,Aiden Markram,SA,AK Markram
6.5,ALL,Corbin Bosch,SA,C Bosch
7.5,BAT,David Miller,SA,DA Miller
9.0,WK,Heinrich Klaasen,SA,H Klaasen
9.0,BOWL,Kagiso Rabada,SA,K Rabada
8.0,BOWL,Keshav Maharaj,SA,KA Maharaj
7.0,BOWL,Lungi Ngidi,SA,L Ngidi
8.5,ALL,Marco Jansen,SA,M Jansen
8.0,BAT,Rassie van der-Dussen,SA,HE van der Dussen
7.0,WK,Ryan Rickelton,SA,RD Rickelton
6.5,BOWL,Tabraiz Shamsi,SA,T Shamsi
8.0,BAT,Temba Bavuma,SA,T Bavuma
6.5,BAT,Tony de Zorzi,SA,T de Zorzi
7.5,BAT,Tristan Stubbs,SA,T Stubbs
7.0,ALL,Wiaan Mulder,SA,PWA Mulder
