Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Start Date,End Date
AK Markram,1,1.0,0.0,175.0,175.0,175.0,126.0,138.88,1.0,0.0,0.0,17.0,7.0,South Africa,2023-04-01,2023-05-01
DA Miller,1,1.0,0.0,91.0,91.0,91.0,61.0,149.18,0.0,1.0,0.0,6.0,4.0,South Africa,2023-04-01,2023-05-01
H Klaasen,1,1.0,0.0,28.0,28.0,28.0,21.0,133.33,0.0,0.0,0.0,4.0,0.0,South Africa,2023-04-01,2023-05-01
HE van der Dussen,1,1.0,0.0,25.0,25.0,25.0,40.0,62.5,0.0,0.0,0.0,2.0,0.0,South Africa,2023-04-01,2023-05-01
M Jansen,1,1.0,1.0,11.0,11.0,0.0,13.0,84.61,0.0,0.0,0.0,0.0,0.0,South Africa,2023-04-01,2023-05-01
Q de Kock,1,1.0,0.0,8.0,8.0,8.0,19.0,42.1,0.0,0.0,0.0,1.0,0.0,South Africa,2023-04-01,2023-05-01
T Bavuma,1,1.0,0.0,6.0,6.0,6.0,12.0,50.0,0.0,0.0,0.0,1.0,0.0,South Africa,2023-04-01,2023-05-01
SSB Magala,1,1.0,0.0,5.0,5.0,5.0,5.0,100.0,0.0,0.0,0.0,1.0,0.0,South Africa,2023-04-01,2023-05-01
A Nortje,1,1.0,0.0,5.0,5.0,5.0,6.0,83.33,0.0,0.0,0.0,1.0,0.0,South Africa,2023-04-01,2023-05-01
L Ngidi,1,1.0,1.0,1.0,1.0,0.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,South Africa,2023-04-01,2023-05-01
T Shamsi,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,South Africa,2023-04-01,2023-05-01
Babar Azam,3,3.0,0.0,162.0,107.0,54.0,184.0,88.04,1.0,1.0,0.0,13.0,1.0,Pakistan,2023-05-01,2023-06-01
Agha Salman,3,3.0,0.0,146.0,58.0,48.66,132.0,110.6,0.0,2.0,0.0,13.0,3.0,Pakistan,2023-05-01,2023-06-01
Iftikhar Ahmed,2,2.0,1.0,122.0,94.0,122.0,94.0,129.78,0.0,1.0,0.0,13.0,2.0,Pakistan,2023-05-01,2023-06-01
Imam-ul-Haq,1,1.0,0.0,90.0,90.0,90.0,107.0,84.11,0.0,1.0,0.0,7.0,1.0,Pakistan,2023-05-01,2023-06-01
Fakhar Zaman,3,3.0,0.0,66.0,33.0,22.0,107.0,61.68,0.0,0.0,0.0,11.0,0.0,Pakistan,2023-05-01,2023-06-01
Mohammad Rizwan,3,3.0,0.0,65.0,32.0,21.66,77.0,84.41,0.0,0.0,0.0,2.0,1.0,Pakistan,2023-05-01,2023-06-01
Shan Masood,2,2.0,0.0,51.0,44.0,25.5,75.0,68.0,0.0,0.0,0.0,7.0,0.0,Pakistan,2023-05-01,2023-06-01
Shadab Khan,2,2.0,1.0,35.0,21.0,35.0,24.0,145.83,0.0,0.0,0.0,2.0,2.0,Pakistan,2023-05-01,2023-06-01
Shaheen Shah Afridi,3,2.0,1.0,23.0,23.0,23.0,9.0,255.55,0.0,0.0,1.0,1.0,3.0,Pakistan,2023-05-01,2023-06-01
Usama Mir,2,1.0,0.0,20.0,20.0,20.0,15.0,133.33,0.0,0.0,0.0,1.0,1.0,Pakistan,2023-05-01,2023-06-01
Abdullah Shafique,1,1.0,0.0,19.0,19.0,19.0,23.0,82.6,0.0,0.0,0.0,0.0,1.0,Pakistan,2023-05-01,2023-06-01
Mohammad Haris,1,1.0,1.0,17.0,17.0,0.0,8.0,212.5,0.0,0.0,0.0,1.0,1.0,Pakistan,2023-05-01,2023-06-01
Mohammad Nawaz (3),1,1.0,1.0,11.0,11.0,0.0,9.0,122.22,0.0,0.0,0.0,1.0,0.0,Pakistan,2023-05-01,2023-06-01
Mohammad Wasim (1),3,1.0,0.0,6.0,6.0,6.0,4.0,150.0,0.0,0.0,0.0,0.0,1.0,Pakistan,2023-05-01,2023-06-01
Haris Rauf,2,1.0,0.0,1.0,1.0,1.0,9.0,11.11,0.0,0.0,0.0,0.0,0.0,Pakistan,2023-05-01,2023-06-01
Naseem Shah,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,2023-05-01,2023-06-01
Najmul Hossain Shanto,3,3.0,0.0,196.0,117.0,65.33,191.0,102.61,1.0,0.0,0.0,26.0,3.0,Bangladesh,2023-05-01,2023-06-01
Mushfiqur Rahim,3,3.0,1.0,142.0,61.0,71.0,152.0,93.42,0.0,1.0,0.0,13.0,1.0,Bangladesh,2023-05-01,2023-06-01
Towhid Hridoy,3,3.0,0.0,108.0,68.0,36.0,105.0,102.85,0.0,1.0,0.0,8.0,3.0,Bangladesh,2023-05-01,2023-06-01
Tamim Iqbal,3,3.0,0.0,90.0,69.0,30.0,114.0,78.94,0.0,1.0,0.0,8.0,0.0,Bangladesh,2023-05-01,2023-06-01
Mehidy Hasan Miraz,3,3.0,0.0,83.0,37.0,27.66,85.0,97.64,0.0,0.0,0.0,10.0,0.0,Bangladesh,2023-05-01,2023-06-01
Litton Das,3,3.0,0.0,56.0,35.0,18.66,61.0,91.8,0.0,0.0,1.0,5.0,2.0,Bangladesh,2023-05-01,2023-06-01
Shakib Al Hasan,2,2.0,0.0,46.0,26.0,23.0,48.0,95.83,0.0,0.0,0.0,9.0,0.0,Bangladesh,2023-05-01,2023-06-01
Taijul Islam,2,2.0,0.0,23.0,14.0,11.5,49.0,46.93,0.0,0.0,0.0,1.0,0.0,Bangladesh,2023-05-01,2023-06-01
Shoriful Islam,2,2.0,1.0,20.0,16.0,20.0,18.0,111.11,0.0,0.0,0.0,1.0,1.0,Bangladesh,2023-05-01,2023-06-01
Mrittunjoy Chowdhury,1,1.0,0.0,8.0,8.0,8.0,11.0,72.72,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Hasan Mahmud,3,2.0,1.0,5.0,4.0,5.0,7.0,71.42,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Rony Talukdar,1,1.0,0.0,4.0,4.0,4.0,14.0,28.57,0.0,0.0,0.0,1.0,0.0,Bangladesh,2023-05-01,2023-06-01
Ebadot Hossain,3,2.0,2.0,2.0,1.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
Mustafizur Rahman,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Bangladesh,2023-05-01,2023-06-01
TWM Latham,3,3.0,0.0,164.0,60.0,54.66,194.0,84.53,0.0,2.0,0.0,13.0,0.0,New Zealand,2023-05-01,2023-06-01
WA Young,3,3.0,0.0,135.0,87.0,45.0,152.0,88.81,0.0,1.0,0.0,14.0,2.0,New Zealand,2023-05-01,2023-06-01
TA Blundell,3,3.0,0.0,103.0,65.0,34.33,129.0,79.84,0.0,1.0,0.0,13.0,0.0,New Zealand,2023-05-01,2023-06-01
MS Chapman,3,3.0,0.0,102.0,46.0,34.0,87.0,117.24,0.0,0.0,0.0,9.0,5.0,New Zealand,2023-05-01,2023-06-01
CE McConchie,3,3.0,1.0,98.0,64.0,49.0,84.0,116.66,0.0,1.0,0.0,8.0,3.0,New Zealand,2023-05-01,2023-06-01
DJ Mitchell,2,2.0,0.0,55.0,34.0,27.5,72.0,76.38,0.0,0.0,0.0,3.0,0.0,New Zealand,2023-05-01,2023-06-01
R Ravindra,1,1.0,0.0,28.0,28.0,28.0,20.0,140.0,0.0,0.0,0.0,4.0,0.0,New Zealand,2023-05-01,2023-06-01
HM Nicholls,2,2.0,0.0,24.0,23.0,12.0,35.0,68.57,0.0,0.0,0.0,2.0,0.0,New Zealand,2023-05-01,2023-06-01
IS Sodhi,3,3.0,0.0,12.0,9.0,4.0,19.0,63.15,0.0,0.0,0.0,1.0,0.0,New Zealand,2023-05-01,2023-06-01
JDS Neesham,1,1.0,0.0,11.0,11.0,11.0,10.0,110.0,0.0,0.0,0.0,1.0,0.0,New Zealand,2023-05-01,2023-06-01
MJ Henry,3,3.0,1.0,10.0,5.0,5.0,9.0,111.11,0.0,0.0,0.0,1.0,0.0,New Zealand,2023-05-01,2023-06-01
HB Shipley,2,2.0,0.0,10.0,7.0,5.0,13.0,76.92,0.0,0.0,0.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
AF Milne,2,2.0,0.0,7.0,4.0,3.5,18.0,38.88,0.0,0.0,0.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
BM Tickner,1,1.0,0.0,6.0,6.0,6.0,11.0,54.54,0.0,0.0,0.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
BG Lister,1,1.0,1.0,1.0,1.0,0.0,3.0,33.33,0.0,0.0,0.0,0.0,0.0,New Zealand,2023-05-01,2023-06-01
Ibrahim Zadran,3,3.0,0.0,174.0,98.0,58.0,194.0,89.69,0.0,2.0,0.0,17.0,4.0,Afghanistan,2023-06-01,2023-07-01
Hashmatullah Shahidi,3,3.0,0.0,99.0,57.0,33.0,112.0,88.39,0.0,1.0,0.0,11.0,0.0,Afghanistan,2023-06-01,2023-07-01
Rahmat Shah,3,3.0,0.0,98.0,55.0,32.66,133.0,73.68,0.0,1.0,0.0,7.0,0.0,Afghanistan,2023-06-01,2023-07-01
Mohammad Nabi,3,3.0,1.0,52.0,27.0,26.0,56.0,92.85,0.0,0.0,0.0,6.0,0.0,Afghanistan,2023-06-01,2023-07-01
Azmatullah Omarzai,2,1.0,0.0,28.0,28.0,28.0,31.0,90.32,0.0,0.0,0.0,4.0,1.0,Afghanistan,2023-06-01,2023-07-01
Rahmanullah Gurbaz,3,3.0,0.0,24.0,14.0,8.0,45.0,53.33,0.0,0.0,0.0,4.0,0.0,Afghanistan,2023-06-01,2023-07-01
Gulbadin Naib,1,1.0,0.0,20.0,20.0,20.0,21.0,95.23,0.0,0.0,0.0,4.0,0.0,Afghanistan,2023-06-01,2023-07-01
Najibullah Zadran,3,3.0,1.0,19.0,10.0,9.5,27.0,70.37,0.0,0.0,0.0,3.0,0.0,Afghanistan,2023-06-01,2023-07-01
Fareed Ahmad,3,2.0,1.0,13.0,13.0,13.0,12.0,108.33,0.0,0.0,1.0,0.0,1.0,Afghanistan,2023-06-01,2023-07-01
Fazalhaq Farooqi,3,2.0,1.0,4.0,4.0,4.0,19.0,21.05,0.0,0.0,0.0,1.0,0.0,Afghanistan,2023-06-01,2023-07-01
Noor Ahmad,2,1.0,0.0,3.0,3.0,3.0,7.0,42.85,0.0,0.0,0.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Rashid Khan,1,1.0,0.0,2.0,2.0,2.0,8.0,25.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Mujeeb Ur Rahman,3,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,Afghanistan,2023-06-01,2023-07-01
Ishan Kishan,3,3.0,0.0,184.0,77.0,61.33,165.0,111.51,0.0,3.0,0.0,21.0,5.0,India,2023-07-01,2023-08-01
Shubman Gill,3,3.0,0.0,126.0,85.0,42.0,157.0,80.25,0.0,1.0,0.0,17.0,0.0,India,2023-07-01,2023-08-01
HH Pandya,3,3.0,1.0,82.0,70.0,41.0,73.0,112.32,0.0,1.0,0.0,4.0,5.0,India,2023-07-01,2023-08-01
SA Yadav,3,3.0,0.0,78.0,35.0,26.0,80.0,97.5,0.0,0.0,0.0,8.0,3.0,India,2023-07-01,2023-08-01
SV Samson,2,2.0,0.0,60.0,51.0,30.0,60.0,100.0,0.0,1.0,0.0,2.0,4.0,India,2023-07-01,2023-08-01
RA Jadeja,3,3.0,2.0,34.0,16.0,34.0,49.0,69.38,0.0,0.0,0.0,1.0,0.0,India,2023-07-01,2023-08-01
SN Thakur,3,2.0,0.0,17.0,16.0,8.5,26.0,65.38,0.0,0.0,0.0,2.0,0.0,India,2023-07-01,2023-08-01
RG Sharma,1,1.0,1.0,12.0,12.0,0.0,19.0,63.15,0.0,0.0,0.0,2.0,0.0,India,2023-07-01,2023-08-01
RD Gaikwad,1,1.0,0.0,8.0,8.0,8.0,14.0,57.14,0.0,0.0,0.0,1.0,0.0,India,2023-07-01,2023-08-01
Kuldeep Yadav,3,1.0,1.0,8.0,8.0,0.0,23.0,34.78,0.0,0.0,0.0,1.0,0.0,India,2023-07-01,2023-08-01
Mukesh Kumar,3,1.0,0.0,6.0,6.0,6.0,7.0,85.71,0.0,0.0,0.0,1.0,0.0,India,2023-07-01,2023-08-01
AR Patel,1,1.0,0.0,1.0,1.0,1.0,8.0,12.5,0.0,0.0,0.0,0.0,0.0,India,2023-07-01,2023-08-01
Umran Malik,2,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,India,2023-07-01,2023-08-01
V Kohli,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2023-07-01,2023-08-01
JD Unadkat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2023-07-01,2023-08-01
Litton Das,3,3.0,1.0,92.0,53.0,46.0,110.0,83.63,0.0,1.0,0.0,8.0,3.0,Bangladesh,2023-07-01,2023-08-01
Towhid Hridoy,3,3.0,1.0,89.0,51.0,44.5,122.0,72.95,0.0,1.0,0.0,6.0,0.0,Bangladesh,2023-07-01,2023-08-01
Shakib Al Hasan,3,3.0,0.0,79.0,39.0,26.33,106.0,74.52,0.0,0.0,0.0,8.0,0.0,Bangladesh,2023-07-01,2023-08-01
Mushfiqur Rahim,3,2.0,0.0,70.0,69.0,35.0,88.0,79.54,0.0,1.0,0.0,6.0,0.0,Bangladesh,2023-07-01,2023-08-01
Mehidy Hasan Miraz,3,2.0,0.0,30.0,25.0,15.0,71.0,42.25,0.0,0.0,0.0,2.0,0.0,Bangladesh,2023-07-01,2023-08-01
Najmul Hossain Shanto,3,3.0,0.0,24.0,12.0,8.0,36.0,66.66,0.0,0.0,0.0,4.0,0.0,Bangladesh,2023-07-01,2023-08-01
Tamim Iqbal,1,1.0,0.0,13.0,13.0,13.0,21.0,61.9,0.0,0.0,0.0,2.0,0.0,Bangladesh,2023-07-01,2023-08-01
Hasan Mahmud,2,2.0,1.0,12.0,8.0,12.0,29.0,41.37,0.0,0.0,0.0,2.0,0.0,Bangladesh,2023-07-01,2023-08-01
Mustafizur Rahman,2,2.0,2.0,10.0,7.0,0.0,21.0,47.61,0.0,0.0,0.0,1.0,0.0,Bangladesh,2023-07-01,2023-08-01
Mohammad Naim,2,2.0,0.0,9.0,9.0,4.5,29.0,31.03,0.0,0.0,1.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Taskin Ahmed,2,1.0,0.0,7.0,7.0,7.0,19.0,36.84,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Afif Hossain,3,2.0,0.0,4.0,4.0,2.0,9.0,44.44,0.0,0.0,1.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Ebadot Hossain,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Shoriful Islam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Taijul Islam,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-07-01,2023-08-01
Rahmanullah Gurbaz,3,3.0,0.0,173.0,145.0,57.66,192.0,90.1,1.0,0.0,0.0,15.0,8.0,Afghanistan,2023-07-01,2023-08-01
Ibrahim Zadran,3,3.0,1.0,142.0,100.0,71.0,183.0,77.59,1.0,0.0,0.0,14.0,1.0,Afghanistan,2023-07-01,2023-08-01
Azmatullah Omarzai,3,2.0,0.0,58.0,56.0,29.0,78.0,74.35,0.0,1.0,0.0,1.0,3.0,Afghanistan,2023-07-01,2023-08-01
Hashmatullah Shahidi,3,3.0,1.0,33.0,22.0,16.5,74.0,44.59,0.0,0.0,0.0,5.0,0.0,Afghanistan,2023-07-01,2023-08-01
Mohammad Nabi,3,2.0,1.0,26.0,25.0,26.0,24.0,108.33,0.0,0.0,0.0,1.0,1.0,Afghanistan,2023-07-01,2023-08-01
Najibullah Zadran,3,2.0,0.0,20.0,10.0,10.0,37.0,54.05,0.0,0.0,0.0,2.0,0.0,Afghanistan,2023-07-01,2023-08-01
Mujeeb Ur Rahman,3,2.0,0.0,16.0,11.0,8.0,37.0,43.24,0.0,0.0,0.0,3.0,0.0,Afghanistan,2023-07-01,2023-08-01
Rahmat Shah,3,3.0,0.0,10.0,8.0,3.33,23.0,43.47,0.0,0.0,1.0,1.0,0.0,Afghanistan,2023-07-01,2023-08-01
Rashid Khan,2,1.0,0.0,6.0,6.0,6.0,6.0,100.0,0.0,0.0,0.0,1.0,0.0,Afghanistan,2023-07-01,2023-08-01
Zia-ur-Rehman,1,1.0,0.0,5.0,5.0,5.0,30.0,16.66,0.0,0.0,0.0,1.0,0.0,Afghanistan,2023-07-01,2023-08-01
Abdul Rahman,1,1.0,0.0,4.0,4.0,4.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Fazalhaq Farooqi,3,2.0,1.0,1.0,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Mohammad Saleem,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Afghanistan,2023-07-01,2023-08-01
Shubman Gill,1,1.0,0.0,85.0,85.0,85.0,92.0,92.39,0.0,1.0,0.0,11.0,0.0,India,2023-08-01,2023-09-01
Ishan Kishan,1,1.0,0.0,77.0,77.0,77.0,64.0,120.31,0.0,1.0,0.0,8.0,3.0,India,2023-08-01,2023-09-01
HH Pandya,1,1.0,1.0,70.0,70.0,0.0,52.0,134.61,0.0,1.0,0.0,4.0,5.0,India,2023-08-01,2023-09-01
SV Samson,1,1.0,0.0,51.0,51.0,51.0,41.0,124.39,0.0,1.0,0.0,2.0,4.0,India,2023-08-01,2023-09-01
SA Yadav,1,1.0,0.0,35.0,35.0,35.0,30.0,116.66,0.0,0.0,0.0,2.0,2.0,India,2023-08-01,2023-09-01
RD Gaikwad,1,1.0,0.0,8.0,8.0,8.0,14.0,57.14,0.0,0.0,0.0,1.0,0.0,India,2023-08-01,2023-09-01
RA Jadeja,1,1.0,1.0,8.0,8.0,0.0,7.0,114.28,0.0,0.0,0.0,0.0,0.0,India,2023-08-01,2023-09-01
Kuldeep Yadav,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2023-08-01,2023-09-01
Mukesh Kumar,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2023-08-01,2023-09-01
SN Thakur,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2023-08-01,2023-09-01
JD Unadkat,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,2023-08-01,2023-09-01
Babar Azam,4,4.0,0.0,264.0,151.0,66.0,286.0,92.3,1.0,2.0,1.0,24.0,5.0,Pakistan,2023-08-01,2023-09-01
Imam-ul-Haq,4,4.0,0.0,170.0,91.0,42.5,243.0,69.95,0.0,2.0,0.0,8.0,0.0,Pakistan,2023-08-01,2023-09-01
Iftikhar Ahmed,3,3.0,1.0,156.0,109.0,78.0,136.0,114.7,1.0,0.0,0.0,14.0,4.0,Pakistan,2023-08-01,2023-09-01
Mohammad Rizwan,4,4.0,0.0,134.0,67.0,33.5,158.0,84.81,0.0,1.0,0.0,16.0,1.0,Pakistan,2023-08-01,2023-09-01
Shadab Khan,4,4.0,0.0,94.0,48.0,23.5,95.0,98.94,0.0,0.0,0.0,7.0,1.0,Pakistan,2023-08-01,2023-09-01
Fakhar Zaman,4,4.0,0.0,73.0,30.0,18.25,91.0,80.21,0.0,0.0,0.0,13.0,0.0,Pakistan,2023-08-01,2023-09-01
Agha Salman,4,4.0,1.0,64.0,38.0,21.33,89.0,71.91,0.0,0.0,0.0,6.0,1.0,Pakistan,2023-08-01,2023-09-01
Mohammad Nawaz (3),2,1.0,0.0,30.0,30.0,30.0,25.0,120.0,0.0,0.0,0.0,2.0,1.0,Pakistan,2023-08-01,2023-09-01
Naseem Shah,3,2.0,2.0,28.0,18.0,0.0,32.0,87.5,0.0,0.0,0.0,4.0,0.0,Pakistan,2023-08-01,2023-09-01
Saud Shakeel,1,1.0,0.0,9.0,9.0,9.0,6.0,150.0,0.0,0.0,0.0,2.0,0.0,Pakistan,2023-08-01,2023-09-01
Shaheen Shah Afridi,4,3.0,1.0,8.0,4.0,4.0,14.0,57.14,0.0,0.0,0.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Haris Rauf,3,2.0,1.0,4.0,3.0,4.0,3.0,133.33,0.0,0.0,0.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Faheem Ashraf,1,1.0,0.0,2.0,2.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Usama Mir,2,2.0,0.0,2.0,2.0,1.0,5.0,40.0,0.0,0.0,1.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Mohammad Wasim (1),1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pakistan,2023-08-01,2023-09-01
Najmul Hossain Shanto,1,1.0,0.0,89.0,89.0,89.0,122.0,72.95,0.0,1.0,0.0,7.0,0.0,Bangladesh,2023-08-01,2023-09-01
Towhid Hridoy,1,1.0,0.0,20.0,20.0,20.0,41.0,48.78,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mohammad Naim,1,1.0,0.0,16.0,16.0,16.0,23.0,69.56,0.0,0.0,0.0,3.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mushfiqur Rahim,1,1.0,0.0,13.0,13.0,13.0,22.0,59.09,0.0,0.0,0.0,1.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mahedi Hasan,1,1.0,0.0,6.0,6.0,6.0,16.0,37.5,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mehidy Hasan Miraz,1,1.0,0.0,5.0,5.0,5.0,11.0,45.45,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Shakib Al Hasan,1,1.0,0.0,5.0,5.0,5.0,11.0,45.45,0.0,0.0,0.0,1.0,0.0,Bangladesh,2023-08-01,2023-09-01
Shoriful Islam,1,1.0,1.0,2.0,2.0,0.0,5.0,40.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Mustafizur Rahman,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Tanzid Hasan,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Taskin Ahmed,1,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,Bangladesh,2023-08-01,2023-09-01
Rahmanullah Gurbaz,3,3.0,0.0,174.0,151.0,58.0,213.0,81.69,1.0,0.0,0.0,14.0,3.0,Afghanistan,2023-08-01,2023-09-01
Ibrahim Zadran,3,3.0,0.0,80.0,80.0,26.66,118.0,67.79,0.0,1.0,2.0,6.0,2.0,Afghanistan,2023-08-01,2023-09-01
Mujeeb Ur Rahman,3,2.0,0.0,68.0,64.0,34.0,40.0,170.0,0.0,1.0,0.0,6.0,5.0,Afghanistan,2023-08-01,2023-09-01
Mohammad Nabi,3,3.0,0.0,39.0,29.0,13.0,63.0,61.9,0.0,0.0,0.0,3.0,0.0,Afghanistan,2023-08-01,2023-09-01
Shahidullah,2,2.0,0.0,38.0,37.0,19.0,68.0,55.88,0.0,0.0,0.0,2.0,0.0,Afghanistan,2023-08-01,2023-09-01
Riaz Hassan,2,1.0,0.0,34.0,34.0,34.0,66.0,51.51,0.0,0.0,0.0,5.0,0.0,Afghanistan,2023-08-01,2023-09-01
Hashmatullah Shahidi,3,3.0,1.0,28.0,15.0,14.0,45.0,62.22,0.0,0.0,1.0,3.0,0.0,Afghanistan,2023-08-01,2023-09-01
Rashid Khan,3,3.0,0.0,18.0,16.0,6.0,17.0,105.88,0.0,0.0,1.0,1.0,1.0,Afghanistan,2023-08-01,2023-09-01
Fareed Ahmad,1,1.0,0.0,17.0,17.0,17.0,29.0,58.62,0.0,0.0,0.0,1.0,0.0,Afghanistan,2023-08-01,2023-09-01
Azmatullah Omarzai,1,1.0,1.0,16.0,16.0,0.0,12.0,133.33,0.0,0.0,0.0,3.0,0.0,Afghanistan,2023-08-01,2023-09-01
Abdul Rahman,2,2.0,1.0,6.0,4.0,6.0,17.0,35.29,0.0,0.0,0.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Fazalhaq Farooqi,3,2.0,2.0,6.0,6.0,0.0,9.0,66.66,0.0,0.0,0.0,1.0,0.0,Afghanistan,2023-08-01,2023-09-01
Ikram Alikhil,2,1.0,0.0,4.0,4.0,4.0,9.0,44.44,0.0,0.0,0.0,1.0,0.0,Afghanistan,2023-08-01,2023-09-01
Gulbadin Naib,1,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Rahmat Shah,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Afghanistan,2023-08-01,2023-09-01
Shubman Gill,8,8.0,2.0,480.0,121.0,80.0,483.0,99.37,2.0,3.0,0.0,47.0,12.0,India,2023-09-01,2023-10-01
KL Rahul,7,6.0,2.0,305.0,111.0,76.25,320.0,95.31,1.0,2.0,0.0,25.0,6.0,India,2023-09-01,2023-10-01
RG Sharma,7,6.0,1.0,275.0,81.0,55.0,237.0,116.03,0.0,4.0,1.0,26.0,17.0,India,2023-09-01,2023-10-01
Ishan Kishan,8,6.0,1.0,192.0,82.0,38.4,219.0,87.67,0.0,1.0,0.0,17.0,5.0,India,2023-09-01,2023-10-01
V Kohli,6,4.0,1.0,185.0,122.0,61.66,174.0,106.32,1.0,1.0,0.0,15.0,4.0,India,2023-09-01,2023-10-01
SS Iyer,5,4.0,0.0,170.0,105.0,42.5,150.0,113.33,1.0,0.0,0.0,14.0,5.0,India,2023-09-01,2023-10-01
SA Yadav,4,4.0,1.0,156.0,72.0,52.0,127.0,122.83,0.0,2.0,0.0,15.0,7.0,India,2023-09-01,2023-10-01
HH Pandya,5,2.0,0.0,92.0,87.0,46.0,108.0,85.18,0.0,1.0,0.0,7.0,1.0,India,2023-09-01,2023-10-01
RD Gaikwad,2,2.0,0.0,79.0,71.0,39.5,89.0,88.76,0.0,1.0,0.0,12.0,0.0,India,2023-09-01,2023-10-01
RA Jadeja,9,6.0,2.0,76.0,35.0,19.0,104.0,73.07,0.0,0.0,0.0,5.0,1.0,India,2023-09-01,2023-10-01
AR Patel,2,2.0,0.0,68.0,42.0,34.0,70.0,97.14,0.0,0.0,0.0,3.0,3.0,India,2023-09-01,2023-10-01
JJ Bumrah,6,3.0,0.0,26.0,16.0,8.66,37.0,70.27,0.0,0.0,0.0,4.0,0.0,India,2023-09-01,2023-10-01
